Vulnerability,Link
Translation Efforts,https://owasp.org/www-project-top-ten/#div-translation_efforts
Sponsors,https://owasp.org/www-project-top-ten/#div-sponsors
Data 2025,https://owasp.org/www-project-top-ten/#div-data_2025
OWASP Top 10:2025,https://owasp.org/Top10/2025/
Making of OWASP Top 10,https://www.owasptopten.org/
Previous Version (2021),https://owasp.org/Top10/2021/
Previous Version (2017),https://owasp.org/www-project-top-ten/2017
OWASP Top 10 2017,https://owasp.org/www-pdf-archive/OWASP_Top_10-2017_%28en%29.pdf.pdf
Other languages → tab ‘Translation Efforts’,https://owasp.org/www-project-top-ten/#div-translation_efforts
Twitter,https://twitter.com/owasptop10
