product_id,total_ordered,product_name,total_revenue
59,14,Ball,1385.8
23,12,Bike,16.56
55,19,Chair,818.12
8,12,Concrete Cheese,186.88
28,12,Concrete Gloves,633.81
34,19,Concrete Pants,1942.56
40,21,Cotton Ball,1285.05
6,26,Cotton Bike,2168.4
10,30,Cotton Sausages,3263.7000000000003
53,21,Ergonomic Cheese,1282.56
4,21,Ergonomic Wooden Soap,2058.71
50,18,Fantastic Fish,2330.37
17,19,Fantastic Sausages,1458.0
1,21,Fantastic Shoes,506.25
29,21,For repair Fresh Fish,2213.14
2,28,For repair Soft Table,1780.17
37,21,Frozen Computer,555.9599999999999
16,12,Gorgeous Salad,1211.55
14,19,Handcrafted Hat,720.65
45,22,Handcrafted Wooden Fish,1968.9999999999998
19,17,Hat,1335.56
25,20,Incredible Hat,378.24
58,17,Intelligent Chips,1499.5500000000002
20,22,Licensed Cheese,982.5000000000001
54,21,Licensed Plastic Bike,2362.2000000000003
42,14,Mouse,1400.0800000000002
12,19,Mouse,1348.2
57,20,New Fresh Chips,1306.3700000000001
51,18,Pants,1651.63
24,20,Plastic Pants,1290.9
35,15,Practical Fish,1633.5500000000002
41,14,Practical Steel Towels,588.19
44,18,Practical Tuna,224.0
56,16,Refined Ball,1045.8
30,14,Refined Cotton Sausages,483.84
48,16,Rubber Mouse,1499.35
52,19,Rubber Towels,1052.56
43,15,Salad,76.85000000000001
3,19,Sausages,986.44
46,15,Sausages,560.9200000000001
18,13,Shirt,25.300000000000004
11,23,Shoes,1896.58
36,21,Sleek Concrete Cheese,878.08
7,18,Sleek Granite Car,2067.87
15,30,Small Fish,438.18
22,17,Small Shirt,1069.17
13,19,Soft Pizza,352.95
21,18,Steel Car,1799.28
33,10,Steel Computer,734.58
31,23,Steel Mouse,264.12
49,17,Steel Sausages,1348.1999999999998
27,17,Table,453.9
32,19,Tasty Pizza,850.75
47,13,Tuna,1535.7600000000002
26,24,Unbranded Chicken,1433.7
39,13,Unbranded Wooden Hat,992.1600000000001
9,22,Unbranded Wooden Keyboard,211.64999999999998
38,18,Wooden Mouse,952.5600000000001
5,20,Wooden Shoes,1767.3000000000002
